VendorName,TotalSalesDollars,GrossProfit,TotalPurchaseDollars,PurchaseContribution%,CumulativeContribution%
DIAGEO NORTH AMERICA INC,67.99M,17.89M,50.10M,16.3,16.3
MARTIGNETTI COMPANIES,39.33M,13.83M,25.50M,8.3,24.6
PERNOD RICARD USA,32.06M,8.21M,23.85M,7.76,32.36
JIM BEAM BRANDS COMPANY,31.42M,7.93M,23.49M,7.64,40.0
BACARDI USA INC,24.85M,7.42M,17.43M,5.67,45.67
CONSTELLATION BRANDS INC,24.22M,8.95M,15.27M,4.97,50.64
BROWN-FORMAN CORP,18.25M,5.01M,13.24M,4.31,54.95
E & J GALLO WINERY,18.40M,6.33M,12.07M,3.93,58.88
ULTRA BEVERAGE COMPANY LLP,16.50M,5.34M,11.17M,3.63,62.510000000000005
M S WALKER INC,14.71M,4.94M,9.76M,3.18,65.69000000000001
